City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
566,Fayaoue,NC,74.62,overcast clouds,-20.65,166.5333,Chez Dydyce Guesthouse
570,Marsh Harbour,BS,78.42,clear sky,26.5412,-77.0636,Abaco Beach Resort
572,Dong Hoi,VN,79.56,overcast clouds,17.4833,106.6,Nam Long Hotel
573,Chardara,KZ,79.0,clear sky,41.2547,67.9692,Жанаргул
575,Komsomolskiy,UZ,80.6,scattered clouds,40.4272,71.7189,Ikathouse
577,Nkhata Bay,MW,77.77,broken clouds,-11.6066,34.2907,Mayoka Village
585,Padang,ID,79.9,overcast clouds,-0.9492,100.3543,Mercure Padang
586,Mwinilunga,ZM,75.56,light rain,-11.7358,24.4293,Kwakuwahi Lodge
590,Annau,TM,89.6,broken clouds,37.8876,58.516,Buzmein Sokak
591,Mersing,MY,80.6,few clouds,2.4312,103.8405,Timotel Hotel
592,Praia,CV,78.8,scattered clouds,14.9215,-23.5087,LT Aparthotel
595,San Policarpo,PH,78.75,broken clouds,12.1791,125.5072,JM Lodge
596,Sainte-Rose,GP,84.2,broken clouds,16.3324,-61.6979,Villa - Duzer
599,Kudahuvadhoo,MV,83.68,scattered clouds,2.6708,72.8944,Niyama Private Islands Maldives
600,Mutis,CO,80.11,broken clouds,6.2262,-77.4044,Paraiso Escondido
602,Acajutla,SV,72.0,overcast clouds,13.5928,-89.8275,asi es
604,Bairiki,KI,80.6,broken clouds,1.3292,172.9752,Tarawa Boutique Hotel
606,Tam Ky,VN,82.4,few clouds,15.5667,108.4833,Khách Sạn Đông Á
613,Mareeba,AU,75.2,light rain,-17.0,145.4333,Trinity Plains Tourist Park
614,Bolobo,CD,88.48,overcast clouds,-2.1667,16.2333,Hotel de Stephen
615,Beyneu,KZ,80.58,overcast clouds,45.3167,55.2,NUR
618,Morondava,MG,83.73,clear sky,-20.2833,44.2833,La Case Bambou
624,Ambulu,ID,76.68,scattered clouds,-8.345,113.6058,Hotel Ambulu Jember
625,Basco,PH,76.24,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
626,Jalu,LY,79.68,clear sky,29.0331,21.5482,صاحبة الفخامة
631,Atambua,ID,71.24,broken clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
634,Belmonte,BR,82.4,scattered clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
636,Conceicao Do Araguaia,BR,73.4,clear sky,-8.2578,-49.2647,Tarumã Tropical Hotel
638,Limbang,MY,84.2,broken clouds,4.75,115.0,Purnama Hotel
639,Colesberg,ZA,76.96,few clouds,-30.72,25.0972,Bhelekazi Guesthouse
642,Manokwari,ID,78.73,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
644,Maroantsetra,MG,77.76,light rain,-15.4333,49.7333,Annexe Vatsy Hôtel
647,Puerto Carreno,CO,86.56,overcast clouds,6.189,-67.4859,Casa Hotel Victoria
650,Tautira,PF,75.2,moderate rain,-17.7333,-149.15,Pension Oaoa
651,Darab,IR,88.54,few clouds,28.7519,54.5444,Naghshe shapoor Hotel
654,Tual,ID,84.54,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
658,Grand Gaube,MU,78.01,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
661,Edgewater,US,75.2,light rain,28.9889,-80.9023,Islander Beach Resort
662,Nova Olimpia,BR,77.85,light rain,-14.7972,-57.2881,Motel glamour
664,Kalmunai,LK,81.91,few clouds,7.4167,81.8167,VS Villa
665,Port Hedland,AU,71.6,clear sky,-20.3167,118.5667,The Esplanade Hotel
