City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
295,Moffat,55.3323,-3.4454,52.0,66,0,10.36,GB,clear sky
296,Sayyan,15.1718,44.3244,71.29,28,98,4.72,YE,overcast clouds
297,Korla,41.7597,86.1469,58.21,23,0,10.58,CN,clear sky
298,Gazli,40.1333,63.45,85.6,16,98,16.28,UZ,overcast clouds
299,San Quintin,30.4833,-115.95,42.01,12,59,8.99,MX,broken clouds
300,Tankara,22.6667,70.7333,96.8,24,75,12.66,IN,broken clouds
301,Ahraura,25.0167,83.0167,95.0,18,98,5.75,IN,haze
302,Kalianget,-7.05,113.9333,81.64,75,46,9.6,ID,scattered clouds
303,Raboso,18.5667,-98.45,53.6,62,1,5.75,MX,clear sky
304,Christchurch,-43.5333,172.6333,46.99,93,75,4.61,NZ,broken clouds
305,Telimele,10.9167,-13.3333,101.55,14,60,3.44,GN,broken clouds
306,Vetovo,43.7,26.2667,66.99,27,15,5.84,BG,few clouds
307,Houma,29.5958,-90.7195,64.0,77,1,11.5,US,clear sky
308,Elizabeth City,36.2946,-76.2511,60.01,87,100,3.0,US,overcast clouds
309,Sitka,57.0531,-135.33,42.8,61,20,4.94,US,few clouds
310,Khatanga,71.9667,102.5,13.75,92,100,23.44,RU,light snow
311,Lata,40.1629,-8.3327,68.0,77,40,4.61,PT,light rain
312,Salinopolis,-0.6136,-47.3561,81.68,82,100,7.78,BR,overcast clouds
313,Turtas,58.9417,69.1325,52.95,34,100,8.75,RU,overcast clouds
314,Saldanha,-33.0117,17.9442,71.6,60,100,6.91,ZA,overcast clouds
315,Frutal,-20.0247,-48.9406,81.63,25,94,3.22,BR,overcast clouds
316,Alice Springs,-23.7,133.8833,53.6,47,1,6.91,AU,clear sky
317,Colquiri,-17.4167,-67.1333,37.67,43,7,2.42,BO,clear sky
318,Haines Junction,60.7522,-137.5108,23.0,86,5,1.14,CA,clear sky
319,Belaya Gora,68.5333,146.4167,16.41,85,100,10.51,RU,overcast clouds
320,Dahra,36.2546,0.8519,86.0,16,75,18.41,DZ,broken clouds
321,Myitkyina,25.3833,97.4,88.09,21,77,1.61,MM,broken clouds
322,Katsuura,35.1333,140.3,60.01,46,100,3.0,JP,overcast clouds
323,Obera,-27.4871,-55.1199,63.05,94,97,3.13,AR,overcast clouds
324,Zongolica,18.6667,-96.9833,71.1,73,100,1.48,MX,overcast clouds
325,San Juan,-31.5375,-68.5364,62.73,48,0,3.02,AR,clear sky
326,Kruisfontein,-34.0033,24.7314,84.36,30,100,3.98,ZA,overcast clouds
327,Cedar City,37.6775,-113.0619,55.4,26,1,24.16,US,clear sky
328,Atherton,53.5237,-2.4935,60.01,47,100,1.99,GB,overcast clouds
329,Kodiak,57.79,-152.4072,37.4,87,90,11.5,US,overcast clouds
330,Constitucion,-35.3333,-72.4167,57.99,63,0,4.81,CL,clear sky
331,Portobelo,9.55,-79.65,82.99,78,55,7.0,PA,broken clouds
332,Fairbanks,64.8378,-147.7164,32.0,69,1,5.75,US,clear sky
333,Vila Velha,-20.3297,-40.2925,84.0,74,40,3.44,BR,scattered clouds
334,Isangel,-19.55,169.2667,77.38,78,100,9.08,VU,overcast clouds
335,Kuytun,54.3419,101.5036,35.71,75,54,3.98,RU,broken clouds
336,Broome,42.2506,-75.833,48.0,87,90,2.13,US,overcast clouds
337,Beloha,-25.1667,45.05,85.41,44,79,7.81,MG,broken clouds
338,La Ronge,55.1001,-105.2842,23.0,80,100,4.61,CA,overcast clouds
339,Hovd,48.0056,91.6419,35.29,19,100,13.76,MN,overcast clouds
340,Fort Frances,48.5999,-93.4003,30.99,69,1,3.44,CA,clear sky
341,Nizhnetroitskiy,54.3385,53.6833,47.62,50,77,18.54,RU,broken clouds
342,Usinsk,65.9939,57.5281,44.96,75,100,11.79,RU,overcast clouds
343,North Bend,43.4065,-124.2243,46.4,93,90,3.44,US,overcast clouds
344,Port Lincoln,-34.7333,135.8667,60.3,66,82,8.12,AU,broken clouds
345,Ilongero,-4.6667,34.8667,73.26,62,51,9.57,TZ,light rain
346,Loralai,30.3705,68.598,81.5,15,0,14.92,PK,clear sky
